Code Domaine,Domaine,Code Pays bénéficiaire,Pays bénéficiaire,Code Pays donateur,Pays donateur,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","12061","Céréales","2016","2016","tonnes","3766","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","11988","Céréales Secondaires","2016","2016","tonnes","1178","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","252","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","360","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","855","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","972","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","1733","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","11890","Sucre, total","2016","2016","tonnes","360","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","53","Bénin","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","72","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","53","Bénin","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","72","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","18","Bhoutan","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","109","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","18","Bhoutan","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","109","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","233","Burkina Faso","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","36","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","233","Burkina Faso","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","36","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","32","Cameroun","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","289","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","32","Cameroun","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","289","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","44","Colombie","500","Total donateurs","12061","Céréales","2016","2016","tonnes","1963","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","44","Colombie","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","770","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","44","Colombie","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","770","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","44","Colombie","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","1963","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","107","Côte d'Ivoire","500","Total donateurs","12061","Céréales","2016","2016","tonnes","4323","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","107","Côte d'Ivoire","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","70","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","107","Côte d'Ivoire","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","70","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","107","Côte d'Ivoire","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","4323","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","60","El Salvador","500","Total donateurs","12061","Céréales","2016","2016","tonnes","596","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","60","El Salvador","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","596","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","75","Gambie","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","168","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","75","Gambie","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","168","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","89","Guatemala","500","Total donateurs","12061","Céréales","2016","2016","tonnes","355","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","89","Guatemala","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","348","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","89","Guatemala","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","355","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","89","Guatemala","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","348","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","10021","BulgurFarEnt","2016","2016","tonnes","3544","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","12061","Céréales","2016","2016","tonnes","4005","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","516","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","1605","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","461","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","2226","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","12061","Céréales","2016","2016","tonnes","753","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","331","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","558","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","604","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","443","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","1493","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","310","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","102","Iran (République islamique d')","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","241","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","102","Iran (République islamique d')","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","291","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","102","Iran (République islamique d')","500","Total donateurs","11890","Sucre, total","2016","2016","tonnes","50","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","121","Liban","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","800","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","121","Liban","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","800","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","124","Libye","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","2207","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","130","Malawi","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","860","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","130","Malawi","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","860","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","136","Mauritanie","500","Total donateurs","12061","Céréales","2016","2016","tonnes","1493","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","136","Mauritanie","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","72","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","136","Mauritanie","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","72","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","136","Mauritanie","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","1493","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","149","Népal","500","Total donateurs","12061","Céréales","2016","2016","tonnes","1362","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","149","Népal","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","380","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","149","Népal","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","1232","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","149","Népal","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","380","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","149","Népal","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","130","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","157","Nicaragua","500","Total donateurs","12061","Céréales","2016","2016","tonnes","638","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","157","Nicaragua","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","234","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","157","Nicaragua","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","497","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","157","Nicaragua","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","234","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","157","Nicaragua","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","141","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","158","Niger","500","Total donateurs","12061","Céréales","2016","2016","tonnes","40386","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","158","Niger","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","1043","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","158","Niger","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","4923","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","158","Niger","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","5861","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","158","Niger","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","5985","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","158","Niger","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","34525","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","212","République arabe syrienne","500","Total donateurs","11945","Blé et Farin","2016","2016","tonnes","11428","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","212","République arabe syrienne","500","Total donateurs","10021","BulgurFarEnt","2016","2016","tonnes","8581","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","212","République arabe syrienne","500","Total donateurs","12061","Céréales","2016","2016","tonnes","29569","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","212","République arabe syrienne","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","21752","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","212","République arabe syrienne","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","29710","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","212","République arabe syrienne","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","9560","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","212","République arabe syrienne","500","Total donateurs","11890","Sucre, total","2016","2016","tonnes","7958","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","56","République dominicaine","500","Total donateurs","12061","Céréales","2016","2016","tonnes","113","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","56","République dominicaine","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","113","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","56","République dominicaine","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","3","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","116","République populaire démocratique de Corée","500","Total donateurs","11934","Lait, total","2016","2016","tonnes","775","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","116","République populaire démocratique de Corée","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","1200","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","116","République populaire démocratique de Corée","500","Total donateurs","11890","Sucre, total","2016","2016","tonnes","425","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","38","Sri Lanka","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","164","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","38","Sri Lanka","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","164","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","39","Tchad","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","1216","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","39","Tchad","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","1216","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","249","Yémen","500","Total donateurs","11945","Blé et Farin","2016","2016","tonnes","179332","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","249","Yémen","500","Total donateurs","12061","Céréales","2016","2016","tonnes","196027","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","249","Yémen","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","247","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","249","Yémen","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","9880","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","249","Yémen","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","18648","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","249","Yémen","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","16695","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","249","Yémen","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","36760","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","249","Yémen","500","Total donateurs","11839","Poiss&produi","2016","2016","tonnes","72","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","249","Yémen","500","Total donateurs","11890","Sucre, total","2016","2016","tonnes","2675","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
